ID,Title,Description,Type,BodyPart,Equipment,Level,Rating,RatingDesc,URL,Area
0,Partner plank band row,The partner plank band row is an abdominal exercise where two partners perform single-arm planks while pulling on the opposite ends of an exercise band. This technique can be done for time or reps in any ab-focused workout.,Strength,Abdominals,Bands,Intermediate,0,,https://www.youtube.com/watch?v=2dAndIUJ-68&pp=ygUWUGFydG5lciBwbGFuayBiYW5kIHJvdw%3D%3D,Back
1,Banded crunch isometric hold,"The banded crunch isometric hold is an exercise targeting the abdominal muscles, particularly the rectus abdominis or ""six-pack"" muscles. The band adds resistance and continuous tension to this popular exercise.",Strength,Abdominals,Bands,Intermediate,,,https://www.youtube.com/watch?v=YH1_N31Bsnw&pp=ygUcQmFuZGVkIGNydW5jaCBpc29tZXRyaWMgaG9sZA%3D%3D,Abs
2,Plank Jacks with Mini Band,"The banded plank jack is a variation on the plank that involves moving the legs in and out for repetitions. Having a band around the thighs forces the lower body to work harder, particularly the hips and glutes. The plank jack is commonly performed as part of a bodyweight circuit, or as part of a dynamic warm-up.",Strength,Abdominals,Bands,Intermediate,,,https://www.youtube.com/watch?v=mmVWNY8n_H4&pp=ygUaUGxhbmsgSmFja3Mgd2l0aCBNaW5pIEJhbmQ%3D,Core
3,Banded crunch,"The banded crunch is an exercise targeting the abdominal muscles, particularly the rectus abdominis or ""six-pack"" muscles. The band adds resistance and continuous tension to this popular exercise.",Strength,Abdominals,Bands,Intermediate,,,https://www.youtube.com/watch?v=EBq6zi8KxCs&pp=ygUNQmFuZGVkIGNydW5jaA%3D%3D,Abs
4,Crunch,"The crunch is a popular core exercise targeting the rectus abdominis, or ""six-pack"" muscles, as well as the obliques. It has been the centerpiece of many ab-focused workouts, due to both its simplicity and the intense burn and mind-muscle connection it produces. It can be performed for time or reps as part of the ab-focused portion of any workout.",Strength,Abdominals,Bands,Intermediate,,,https://www.youtube.com/watch?v=Xyd_fa5zoEU&pp=ygUPQ3J1bmNoIGV4ZXJjaXNl,Abs
5,Decline bar press sit-up,"The decline band press sit-up is a weighted core exercise that works the rectus abdominis or ""six pack"" muscles, as well as the deep core muscles. It also taxes the muscles of the shoulders and upper back. Sit-up variations with added resistance are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.",Strength,Abdominals,Bands,Intermediate,,,https://www.youtube.com/watch?v=N7hf1_vcX5w&pp=ygUYRGVjbGluZSBiYXIgcHJlc3Mgc2l0LXVw,Chest
6,FYR2 Banded Frog Pumps,,Strength,Abdominals,Bands,Intermediate,,,https://www.youtube.com/watch?v=4w-R8KN1s7g&pp=ygUWRllSMiBCYW5kZWQgRnJvZyBQdW1wcw%3D%3D,Glutes
7,Band low-to-high twist,"The band low-to-high twist is a core exercise targeting the upper abdominals and the obliques. Take care to perform it with control, as rapid, uncontrolled twisting can injure the spine. It is usually performed for moderate to high reps, at least 8-15 per side, as part of the core-focused portion of a workout.",Strength,Abdominals,Bands,Intermediate,,,https://www.youtube.com/watch?v=ntUb4I4T-2M&pp=ygUWQmFuZCBsb3ctdG8taGlnaCB0d2lzdA%3D%3D,Obliques
8,Barbell roll-out,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.",Strength,Abdominals,Barbell,Intermediate,8.9,Average,https://www.youtube.com/watch?v=3C1TRMJveXo&pp=ygUQQmFyYmVsbCByb2xsLW91dA%3D%3D,Core
9,Barbell Ab Rollout - On Knees,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.",Strength,Abdominals,Barbell,Intermediate,8.9,Average,https://www.youtube.com/watch?v=MW8pIlUhkBE&pp=ygUdQmFyYmVsbCBBYiBSb2xsb3V0IC0gT24gS25lZXM%3D,Core
